Symbol,Company,Volume,Price,Change,%Change
ICCT,iCoreConnect Inc.,132.2M,4.78,2.71,130.92
TIVC,Tivic Health Systems Inc.,32.0M,4.65,1.40,43.07
CGTL,Creative Global Technology Holdings Ltd.,729.2K,5.39,1.24,29.88
TCRT,Alaunos Therapeutics Inc.,1.9M,3.51,0.71,25.36
OPOF,Old Point Financial Corp.,175.0K,36.31,6.40,21.40
CLIK,Click Holdings Ltd.,172.2K,2.69,0.36,15.45
GT,Goodyear Tire & Rubber Co.,12.7M,10.46,1.33,14.64
SKBL,Skyline Builders Group Holding Ltd. Cl A,860.8K,11.61,1.25,12.07
FLX,BingEx Ltd. ADR,111.3K,2.50,0.26,11.36
LW,Lamb Weston Holdings Inc.,5.0M,59.64,5.50,10.15
LZMH,LZ Technology Holdings Ltd. Cl B,181.7K,7.85,0.69,9.63
MDCX,Medicus Pharma Ltd.,62.8K,3.71,0.31,9.12
VTMX,Corp. Inmobiliaria Vesta S.A.B. de C.V. ADR,122.9K,24.78,1.98,8.68
MOH,Molina Healthcare Inc.,749.1K,356.38,27.89,8.49
NYXH,Nyxoah S.A.,168.2K,7.05,0.55,8.46
JUNE,Junee Ltd.,86.3K,11.65,0.84,7.77
BDMD,Baird Medical Investment Holdings Ltd.,55.5K,5.92,0.42,7.64
CNL,Collective Mining Ltd.,98.7K,9.67,0.59,6.50
RIME,Algorhythm Holdings Inc.,95.9K,2.26,0.14,6.37
POET,POET Technologies Inc.,935.9K,4.10,0.24,6.22
RGC,Regencell Bioscience Holdings Ltd.,55.1K,24.99,1.46,6.20
ADTX,Aditxt Inc.,90.8K,5.30,0.30,6.00
NGG,National Grid PLC ADR,653.8K,69.45,3.67,5.58
STNE,StoneCo Ltd. Cl A,4.4M,11.32,0.58,5.45
CNC,Centene Corp.,2.7M,63.92,3.19,5.25
ALHC,Alignment Healthcare Inc.,909.1K,18.76,0.91,5.10
UL,Unilever PLC ADR,3.6M,62.82,2.96,4.94
DG,Dollar General Corp.,5.7M,94.60,4.41,4.88
TEF,Telefonica S.A. ADR,795.4K,4.90,0.23,4.85
NMAX,Newsmax Inc. Cl B,4.2M,55.00,2.48,4.72
AWK,American Water Works Co.,1.3M,153.00,6.81,4.66
FMS,Fresenius Medical Care AG,256.9K,25.88,1.15,4.65
PAGS,PagSeguro Digital Ltd. Cl A,3.4M,8.36,0.37,4.63
KR,Kroger Co.,6.7M,70.40,3.13,4.65
SBS,Companhia de Saneamento Basico do Estado de Sao Paulo ADR,591.9K,18.73,0.81,4.52
UNH,UnitedHealth Group Inc.,2.6M,545.23,22.03,4.21
CCEP,Coca-Cola Europacific Partners PLC,2.3M,91.06,3.65,4.18
MSEX,Middlesex Water Co.,62.5K,66.53,2.66,4.16
ZYBT,Zhengye Biotechnology Holding Ltd.,532.0K,5.16,0.20,4.03
AMX,America Movil S.A.B. de C.V. ADR,1.6M,15.04,0.58,4.01
ELV,Elevance Health Inc.,1.4M,446.46,17.13,3.99
TARA,Protara Therapeutics Inc.,101.3K,4.46,0.17,3.96
SBAC,SBA Communications Corp.,768.5K,228.02,8.68,3.96
BTI,British American Tobacco PLC ADR,4.3M,41.84,1.58,3.94
OCG,Oriental Culture Holding Ltd.,54.5K,3.53,0.13,3.82
WTRG,Essential Utilities Inc.,632.1K,40.90,1.50,3.82
PM,Philip Morris International Inc.,4.7M,162.04,5.87,3.76
FTCI,FTC Solar Inc.,103.6K,3.06,0.11,3.73
FSLR,First Solar Inc.,5.9M,134.65,4.83,3.72
AZN,AstraZeneca PLC ADR,3.7M,74.89,2.67,3.70
FMX,Fomento Economico Mexicano S.A.B. de C.V. ADR,306.7K,103.61,3.68,3.68
AMT,American Tower REIT,2.2M,225.88,7.98,3.66
OHI,Omega Healthcare Investors Inc.,1.4M,39.26,1.38,3.63
KOF,Coca-Cola Femsa S.A.B. de C.V. ADR,158.1K,98.47,3.41,3.59
UPC,Universe Pharmaceuticals Inc.,65.6K,2.90,0.10,3.57
KT,KT Corp. ADR,394.8K,17.90,0.59,3.41
VIV,Telefonica Brasil S.A. ADR,342.9K,9.30,0.30,3.39
ABEV,Ambev S.A. ADR,23.1M,2.44,0.08,3.39
CSAN,Cosan S.A. ADR,896.9K,5.50,0.18,3.38
ELP,Companhia Paranaense de Energia-COPEL ADR,63.0K,7.66,0.25,3.37
EBR,Centrais Eletricas Brasileiras S/A ADR,743.1K,7.36,0.24,3.37
CM,Canadian Imperial Bank of Commerce,924.4K,59.83,1.94,3.36
GO,Grocery Outlet Holding Corp.,1.3M,14.18,0.46,3.35
HLN,Haleon PLC ADR,8.1M,10.50,0.34,3.35
MCK,McKesson Corp.,1.0M,716.73,23.20,3.35
TIMB,TIM S/A ADR,252.1K,16.49,0.53,3.32
MKTX,MarketAxess Holdings Inc.,363.9K,217.61,6.78,3.22
BEKE,KE Holdings Inc. ADR,7.0M,21.08,0.66,3.21
CL,Colgate-Palmolive Co.,2.3M,96.48,2.94,3.14
AWR,American States Water Co.,65.6K,80.24,2.44,3.13
GSK,GSK PLC ADR,4.4M,38.81,1.17,3.12
FTS,Fortis Inc.,221.5K,47.60,1.44,3.12
BBD,Banco Bradesco S/A Pref ADR,23.1M,2.28,0.07,3.08
ITUB,Itau Unibanco Holding S/A ADR,14.0M,5.70,0.17,3.08
ELS,Equity Lifestyle Properties Inc.,1.1M,68.71,2.05,3.08
TU,TELUS Corp.,1.5M,14.42,0.43,3.07
CWT,California Water Service Group,142.2K,49.99,1.49,3.07
VOD,Vodafone Group PLC ADR,9.1M,9.40,0.28,3.07
JNJ,Johnson & Johnson,6.2M,160.08,4.72,3.04
CME,CME Group Inc. Cl A,1.8M,270.40,7.86,2.99
BJ,BJ's Wholesale Club Holdings Inc.,1.4M,118.38,3.41,2.97
TBBB,BBB Foods Inc.,331.4K,28.04,0.79,2.90
HUM,Humana Inc.,461.4K,273.49,7.69,2.89
CHD,Church & Dwight Co.,1.4M,111.45,3.13,2.89
GIS,General Mills Inc.,4.1M,60.88,1.69,2.86
PPC,Pilgrim's Pride Corp.,828.2K,50.40,1.40,2.85
JJSF,J&J Snack Foods Corp.,71.8K,134.57,3.71,2.84
ACI,Albertsons Cos. Inc.,3.3M,23.06,0.64,2.83
CI,Cigna Group,1.0M,341.30,9.38,2.83
DUK,Duke Energy Corp.,2.7M,123.74,3.35,2.79
COR,Cencora Inc.,1.1M,287.24,7.72,2.76
ED,Consolidated Edison Inc.,1.3M,112.54,2.96,2.70
KO,Coca-Cola Co.,13.5M,73.21,1.88,2.64
TW,Tradeweb Markets Inc.,775.6K,152.33,3.84,2.59
SJW,SJW Group,90.9K,55.25,1.38,2.56
EXC,Exelon Corp.,4.8M,47.15,1.18,2.57
MO,Altria Group Inc.,6.5M,58.56,1.45,2.53
WING,Wingstop Inc.,594.9K,241.86,5.90,2.50
T,AT&T Inc.,24.4M,28.84,0.70,2.48
ASTH,Astrana Health Inc.,85.0K,30.76,0.74,2.47
